,AUC/test,subject,session
0,0.4752228558063507,LTP093,0
1,0.5760867595672607,LTP093,1
2,0.5955246686935425,LTP093,2
3,0.5394456386566162,LTP093,3
4,0.5932583808898926,LTP093,4
5,0.42558592557907104,LTP093,5
6,0.5261836051940918,LTP093,6
7,0.5134716033935547,LTP093,7
8,0.5599591732025146,LTP093,8
9,0.6308512687683105,LTP093,9
10,0.6097872257232666,LTP093,10
11,0.4819863736629486,LTP093,11
12,0.5519386529922485,LTP093,12
13,0.5939528942108154,LTP093,13
14,0.5386703014373779,LTP093,14
15,0.5452516078948975,LTP093,15
16,0.6273504495620728,LTP093,16
17,0.586259126663208,LTP093,17
18,0.5272727608680725,LTP093,18
19,0.5744855403900146,LTP093,19
20,0.6122449040412903,LTP093,20
21,,LTP093,21
22,0.6728068590164185,LTP093,22
23,0.5658929944038391,LTP093,23
